COD;UF;POP
11;Rondônia;1777225
12;Acre;881935
13;Amazonas;4144597
14;Roraima;605761
15;Pará;8602865
16;Amapá;845731
17;Tocantins;1572866
21;Maranhão;7075181
22;Piauí;3273227
23;Ceará;9132078
24;Rio Grande do Norte;3506853
25;Paraíba;4018127
26;Pernambuco;9557071
27;Alagoas;3337357
28;Sergipe;2298696
29;Bahia;14873064
31;Minas Gerais;21168791
32;Espírito Santo;4018650
33;Rio de Janeiro;17264943
35;São Paulo;45919049
41;Paraná;11433957
42;Santa Catarina;7164788
43;Rio Grande do Sul;11377239
50;Mato Grosso do Sul;2778986
51;Mato Grosso;3484466
52;Goiás;7018354
53;Distrito Federal;3015268
